rid	client_id	gender	transcription	reference
train_0	903	1	 A tornado is a spinning column of very low pressure air which sucks the surrounding air inward and upward.	a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward
train_1	279	0	 Former US Speaker of the House Newt Gingrich came in second with 32%.	former u.s. speaker of the house newt gingrich came in second with 32%
train_2	722	1	 The island was first inhabited by the Tianos and Caribes. The Caribes were an Aracho-Acan speaking people who had arrived around 10,000 BCE.	the island was first inhabited by the taínos and caribes. the caribes were an arawakan-speaking people who had arrived around 10,000 bce
train_3	581	0	 These nerve impulses can be sent so quickly throughout the body which helps keep the body safe from any potential threats.	these nerve impulses can be sent so quickly throughout the body which helps keep the body safe from any potential threat
train_4	46	0	 On September 24th, 1759, Arthur Guinness signed a 9,000 year lease for the St. James Gate Brewery in Dublin, Ireland.	on september 24 1759 arthur guinness signed a 9,000 year lease for the st james' gate brewery in dublin ireland
train_5	1177	1	 Today, Timbuktu is an impoverished town, although its reputation makes it a tourist attraction and it has an airport.	today timbuktu is an impoverished town although its reputation makes it a tourist attraction and it has an airport
train_6	742	0	 With the same time zone as Hawaii, the islands are sometimes thought of as Hawaii Down Under.	with the same time zone as hawaii the islands are sometimes thought of as hawaii down under
train_7	1281	0	 Hokuriki Electric Power Co. reported no effects from the earthquake and that the number one and two reactors at its Shika Nuclear Power Plant were shut down.	hokuriku electric power co reported no effects from the earthquake and that the number 1 and 2 reactors at its shika nuclear power plant were shut down
train_8	196	0	 Massa is due to be out for at least the rest of the 2009 season.	massa is due to be out for at least the rest of the 2009 season
train_9	86	1	 Pittman suggested that conditions wouldn't improve until sometime next week.	pittman suggested that conditions wouldn't improve until sometime next week
train_10	484	0	 Followers pursue certain ways of living or practices that are intended to nurture those experiences.	followers pursue certain ways of living or practices that are intended to nurture those experiences
train_11	8	0	 The protest started around 11.00 local time UTC plus one on Weta Hall opposite the police guarded entrance to Downing Street, the Prime Minister's official residence.	the protest started around 11:00 local time utc+1 on whitehall opposite the police-guarded entrance to downing street the prime minister's official residence
train_12	1169	1	 The Amazon River is the second longest and the biggest river on Earth. It carries more than eight times as much water as the second biggest river.	the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river
