,rid,client_id,gender,transcription,reference,split,weight,wer,cer
1,train_1,male_3,male, Former US Speaker of the House Newt Gingrich came in second with 32%.,former u.s. speaker of the house newt gingrich came in second with 32%,train,0.13418803418803418,0.14285714285714285,0.015151515151515152
3,train_3,male_11,male, These nerve impulses can be sent so quickly throughout the body which helps keep the body safe from any potential threats.,these nerve impulses can be sent so quickly throughout the body which helps keep the body safe from any potential threat,train,0.05897435897435897,0.047619047619047616,0.008333333333333333
4,train_4,male_7,male," On September 24th, 1759, Arthur Guinness signed a 9,000 year lease for the St. James Gate Brewery in Dublin, Ireland.","on september 24 1759 arthur guinness signed a 9,000 year lease for the st james' gate brewery in dublin ireland",train,0.12991452991452992,0.05,0.017857142857142856
6,train_6,male_7,male," With the same time zone as Hawaii, the islands are sometimes thought of as Hawaii Down Under.",with the same time zone as hawaii the islands are sometimes thought of as hawaii down under,train,0.12991452991452992,0.0,0.0
7,train_7,male_0,male, Hokuriki Electric Power Co. reported no effects from the earthquake and that the number one and two reactors at its Shika Nuclear Power Plant were shut down.,hokuriku electric power co reported no effects from the earthquake and that the number 1 and 2 reactors at its shika nuclear power plant were shut down,train,0.11282051282051282,0.037037037037037035,0.006535947712418301
8,train_8,male_0,male, Massa is due to be out for at least the rest of the 2009 season.,massa is due to be out for at least the rest of the 2009 season,train,0.11282051282051282,0.0,0.0
10,train_10,male_3,male, Followers pursue certain ways of living or practices that are intended to nurture those experiences.,followers pursue certain ways of living or practices that are intended to nurture those experiences,train,0.13418803418803418,0.0,0.0
11,train_11,male_0,male," The protest started around 11.00 local time UTC plus one on Weta Hall opposite the police guarded entrance to Downing Street, the Prime Minister's official residence.",the protest started around 11:00 local time utc+1 on whitehall opposite the police-guarded entrance to downing street the prime minister's official residence,train,0.11282051282051282,0.15384615384615385,0.0440251572327044
14,train_14,male_1,male," With this arrangement in place, this freedom might end.",with this arrangement in place this freedom might end,train,0.1170940170940171,0.0,0.0
16,train_16,male_1,male, The civilization flourished in the basins of the Indus river that wherefore it derives its name.,the civilisation flourished in the basins of the indus river wherefore it derives its name,train,0.1170940170940171,0.13333333333333333,0.06666666666666667
18,train_18,male_1,male," For some, understanding something about how aircraft work and what happens during a flight may help to overcome a fear which is based on the unknown or on not being in control.",for some understanding something about how aircraft work and what happens during a flight may help to overcome a fear which is based on the unknown or on not being in control,train,0.1170940170940171,0.0,0.0
22,train_22,male_10,male," Despite his comments, he said he will be supporting the British competitors at the 2012 Olympics being held in London.",despite his comments he said he will be supporting the british competitors at the 2012 olympics being held in london,train,0.09401709401709402,0.0,0.0
23,train_23,male_5,male, UN peacekeepers who arrived in Haiti after the 2010 earthquake are being blamed for the spread of the disease which started near the troops encampment.,un peacekeepers whom arrived in haiti after the 2010 earthquake are being blamed for the spread of the disease which started near the troop's encampment,train,0.10683760683760683,0.11538461538461539,0.0196078431372549
25,train_25,male_3,male, They normally offer higher bandwidth and better quality of service. They are encrypted and thus harder to spy on.,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,train,0.13418803418803418,0.0,0.0
27,train_27,male_7,male," Examples include control, planning and scheduling, the ability to answer customers' diagnosis and questions, as well as handwriting recognition, voice and face.",examples include control planning and scheduling the ability to answer customer diagnoses and questions as well as handwriting recognition voice and face,train,0.12991452991452992,0.09090909090909091,0.013071895424836602
28,train_28,male_4,male," Other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them, even though today the sloth and other animals like the parrot, a descendant of the dinosaurs, can eat poisonous leaves or fruit.",other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them even though today the sloth and other animals like the parrot a descendant of the dinosaurs can eat poisonous leaves or fruit,train,0.1282051282051282,0.0,0.0
31,train_31,male_7,male, The blade on a modern ice skate has a double edge with a concave hollow between them. The two edges allow for a better grasp of the ice even when tilted.,the blade on a modern ice skate has a double edge with a concave hollow between them the two edges allow for a better grasp of the ice even when tilted,train,0.12991452991452992,0.0,0.0
34,train_34,male_5,male," Another disadvantage of zoom lenses is that the maximum aperture, the speed of the lens is usually lower.",another disadvantage of zoom lenses is that the maximum aperture the speed of the lens is usually lower,train,0.10683760683760683,0.0,0.0
37,train_37,male_3,male, Visibility may also be restricted by falling or blowing snow or by condensation or ice on vehicle windows.,visibility may also be restricted by falling or blowing snow or by condensation or ice on vehicle windows,train,0.13418803418803418,0.0,0.0
41,train_41,male_11,male, Some people believe that experiencing many artificially induced lucid dreams often enough can be very exhausting.,some people believe that experiencing many artificially induced lucid dreams often enough can be very exhausting,train,0.05897435897435897,0.0,0.0
42,train_42,male_1,male, Northern Rock had required support due to its exposure during the subprime mortgage crisis in 2007.,northern rock had required support due to its exposure during the subprime mortgage crisis in 2007,train,0.1170940170940171,0.0,0.0
44,train_44,male_3,male, Officials for the city of Amsterdam and the Anne Frank Museum state that the tree is infected with a fungus and poses a public health hazard as they argue that it was in imminent danger of falling over.,officials for the city of amsterdam and the anne frank museum state that the tree is infected with a fungus and poses a public health hazard as they argue that it was in imminent danger of falling over,train,0.13418803418803418,0.0,0.0
46,train_46,male_10,male, Beijing will host the opening and closing ceremonies and the indoor ice events.,beijing will host the opening and closing ceremonies and the indoor ice events,train,0.09401709401709402,0.0,0.0
49,train_49,male_0,male," Shortly after, the Atlanta Journal Constitution published a report showing problems with test results.",shortly after the atlanta journal-constitution published a report showing problems with test results,train,0.11282051282051282,0.0,0.0
