,rid,client_id,gender,transcription,reference,split,weight,wer,cer
1,train_1,male_3,male," Former US speaker of the house, Newt, Gingrich, came in second with 32%.",former u.s. speaker of the house newt gingrich came in second with 32%,train,0.13418803418803418,0.14285714285714285,0.015151515151515152
3,train_3,male_11,male, This nerve imposes can be sensuquely through the body which helps keep the body safe from any potential choice.,these nerve impulses can be sent so quickly throughout the body which helps keep the body safe from any potential threat,train,0.05897435897435897,0.3333333333333333,0.15833333333333333
4,train_4,male_7,male," On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St. James Gate Brewery in Dublin, Ireland.","on september 24 1759 arthur guinness signed a 9,000 year lease for the st james' gate brewery in dublin ireland",train,0.12991452991452992,0.0,0.0
6,train_6,male_7,male," With the same time zones Hawaii, the islander sometimes thought of as Hawaii down under.",with the same time zone as hawaii the islands are sometimes thought of as hawaii down under,train,0.12991452991452992,0.23529411764705882,0.06593406593406594
7,train_7,male_0,male, Hokuru ki electric power co reported no effect from the hard quick and that the number one and two reactors at its chic and nuclear power plant was shut down.,hokuriku electric power co reported no effects from the earthquake and that the number 1 and 2 reactors at its shika nuclear power plant were shut down,train,0.11282051282051282,0.2962962962962963,0.11764705882352941
8,train_8,male_0,male, Massage due to be out for at least the rest of the 2009 season.,massa is due to be out for at least the rest of the 2009 season,train,0.11282051282051282,0.13333333333333333,0.047619047619047616
10,train_10,male_3,male, Followers pursue certain ways of living or practices that are intended to nurture those experiences.,followers pursue certain ways of living or practices that are intended to nurture those experiences,train,0.13418803418803418,0.0,0.0
11,train_11,male_0,male, The protest started around 1100 local time UTC plus one on which a whole opposite the police guarded entrance to Downing Street. The Prime Minister's official residence.,the protest started around 11:00 local time utc+1 on whitehall opposite the police-guarded entrance to downing street the prime minister's official residence,train,0.11282051282051282,0.23076923076923078,0.06289308176100629
14,train_14,male_1,male," With this arrangement in place, this freedom might end.",with this arrangement in place this freedom might end,train,0.1170940170940171,0.0,0.0
16,train_16,male_1,male, The civilization flourished in the basins of the Indus River that were for a derived's name.,the civilisation flourished in the basins of the indus river wherefore it derives its name,train,0.1170940170940171,0.4666666666666667,0.13333333333333333
